Time,Torque,Angle,Rotating speed,Power
0,0.005,0,12,0.0
0.5,0.008,0,12,0.0
1.0,0.008,0,11,0.0
1.5,0.008,0,11,0.0
2.0,0.003,0,12,0.0
2.5,0.003,1,13,0.0
3.0,0.003,1,16,0.0
3.5,0.003,1,16,0.0
4.0,0.005,1,22,0.0
4.5,0.003,1,26,0.0
5.0,0.005,1,28,0.0
5.5,0.005,1,31,0.0
6.0,0.008,1,32,0.0
6.5,0.008,1,34,0.0
7.0,0.008,1,35,0.0
7.5,0.008,2,36,0.0
8.0,0.011,2,38,0.0
8.5,0.011,2,43,0.0
9.0,0.011,2,45,0.0
9.5,0.011,2,48,0.0
10.0,0.011,2,51,0.0
10.5,0.013,2,53,0.0
11.0,0.008,3,55,0.0
11.5,0.005,3,56,0.0
12.0,0.011,3,57,0.0
12.5,0.008,3,58,0.0
13.0,0.005,3,59,0.0
13.5,0.003,4,59,0.0
14.0,0.003,4,59,0.0
14.5,0.0,4,60,0.0
15.0,0.0,4,60,0.0
15.5,0.003,4,60,1.2000000000000002
16.0,0.0,4,60,3.0
16.5,0.005,5,60,5.4
17.0,0.005,5,61,7.2
17.5,0.008,5,63,9.0
18.0,0.005,5,65,9.600000000000001
18.5,0.008,6,68,9.600000000000001
19.0,0.011,6,71,9.0
19.5,0.011,6,73,8.4
20.0,0.005,6,75,7.800000000000001
20.5,0.005,6,76,7.2
21.0,0.005,7,77,7.2
21.5,0.008,7,79,6.6000000000000005
22.0,0.008,7,80,6.0
22.5,0.008,7,81,5.4
23.0,0.005,8,81,6.0
23.5,0.003,8,82,6.6000000000000005
24.0,0.003,8,82,6.6000000000000005
24.5,0.003,8,83,5.4
25.0,0.005,9,83,4.800000000000001
25.5,0.005,9,83,4.2
26.0,0.003,9,83,3.6
26.5,0.003,9,83,3.0
27.0,0.0,10,83,3.6
27.5,0.0,10,83,6.6000000000000005
28.0,0.003,10,84,9.600000000000001
28.5,0.003,10,87,11.4
29.0,0.005,11,88,13.200000000000001
29.5,0.005,11,92,13.9
30.0,0.0,11,93,14.5
30.5,0.003,12,96,15.100000000000001
31.0,0.003,12,98,10.8
31.5,0.003,12,99,8.4
32.0,0.005,12,99,7.2
32.5,0.005,13,101,6.6000000000000005
33.0,0.003,13,102,6.0
33.5,0.0,13,102,5.4
34.0,0.003,14,103,5.4
34.5,0.005,14,103,4.800000000000001
35.0,0.005,14,103,4.800000000000001
35.5,0.005,15,104,4.800000000000001
36.0,0.008,15,104,3.6
36.5,0.008,15,103,2.4000000000000004
37.0,0.008,16,104,2.4000000000000004
37.5,0.011,16,105,2.4000000000000004
38.0,0.013,16,106,3.0
38.5,0.019,17,108,3.0
39.0,0.021,17,110,3.6
39.5,0.027,17,112,3.0
40.0,0.021,18,113,3.0
40.5,0.021,18,114,3.0
41.0,0.027,18,115,3.0
41.5,0.03,19,116,3.0
42.0,0.024,19,117,3.0
42.5,0.03,19,118,1.8
43.0,0.035,20,119,0.6000000000000001
43.5,0.035,20,119,0.0
44.0,0.035,20,119,0.0
44.5,0.032,21,119,0.0
45.0,0.032,21,119,0.0
45.5,0.03,21,119,0.0
46.0,0.035,22,119,0.0
46.5,0.03,22,120,0.0
47.0,0.03,22,120,0.0
47.5,0.024,23,120,0.0
48.0,0.021,23,120,0.6000000000000001
48.5,0.019,24,121,0.6000000000000001
49.0,0.016,24,122,0.0
49.5,0.011,24,122,0.0
50.0,0.013,25,122,0.0
50.5,0.005,25,121,0.0
51.0,0.0,25,121,0.0
51.5,0.0,26,120,0.0
52.0,0.003,26,119,0.0
52.5,0.005,27,119,0.0
53.0,0.008,27,119,1.2000000000000002
53.5,0.005,27,118,2.4000000000000004
54.0,0.011,28,119,3.0
54.5,0.011,28,119,3.6
55.0,0.005,28,118,3.6
55.5,0.005,29,118,3.6
56.0,0.003,29,117,3.6
56.5,0.005,29,117,3.6
57.0,0.008,30,117,3.6
57.5,0.005,30,117,4.2
58.0,0.003,30,117,4.800000000000001
58.5,0.003,31,117,5.4
59.0,0.005,31,117,5.4
59.5,0.0,31,116,4.2
60.0,0.003,32,116,3.6
60.5,0.003,32,116,3.0
61.0,0.0,33,115,3.0
61.5,0.003,33,115,3.0
62.0,0.005,33,115,3.6
62.5,0.008,34,115,4.2
63.0,0.005,34,115,5.4
63.5,0.005,34,116,4.800000000000001
64.0,0.005,35,115,4.2
64.5,0.008,35,115,3.6
65.0,0.008,35,116,3.0
65.5,0.013,36,115,3.0
66.0,0.011,36,115,3.0
66.5,0.008,36,115,2.4000000000000004
67.0,0.013,37,114,3.0
67.5,0.013,37,114,3.0
68.0,0.013,37,114,2.4000000000000004
68.5,0.016,38,113,1.8
69.0,0.013,38,114,1.8
69.5,0.011,38,114,1.8
70.0,0.019,39,114,1.2000000000000002
70.5,0.019,39,114,1.2000000000000002
71.0,0.013,39,113,1.2000000000000002
71.5,0.016,40,113,1.2000000000000002
72.0,0.021,40,112,1.2000000000000002
72.5,0.019,40,111,1.2000000000000002
73.0,0.024,41,111,1.2000000000000002
73.5,0.024,41,110,1.2000000000000002
74.0,0.027,42,110,1.2000000000000002
74.5,0.024,42,110,0.6000000000000001
75.0,0.035,42,110,0.0
75.5,0.035,43,110,0.0
76.0,0.04,43,109,0.0
76.5,0.038,43,109,0.0
77.0,0.04,43,108,0.0
77.5,0.038,44,108,0.0
78.0,0.043,44,108,0.0
78.5,0.032,44,108,0.0
79.0,0.035,45,108,0.0
79.5,0.038,45,108,0.0
80.0,0.03,45,108,0.0
80.5,0.027,46,108,0.0
81.0,0.024,46,109,0.0
81.5,0.021,46,109,0.0
82.0,0.019,47,110,0.0
82.5,0.011,47,110,0.0
83.0,0.005,47,109,0.0
83.5,0.003,48,109,0.0
84.0,0.003,48,108,0.0
84.5,0.0,48,108,0.0
85.0,0.003,49,107,0.0
85.5,0.005,49,107,0.0
86.0,0.0,49,107,0.6000000000000001
86.5,0.003,50,106,2.4000000000000004
87.0,0.008,50,106,3.0
87.5,0.011,50,107,3.6
88.0,0.008,51,106,3.6
88.5,0.005,51,106,3.6
89.0,0.008,51,106,3.6
89.5,0.003,52,106,3.6
90.0,0.005,52,106,3.6
90.5,0.005,52,106,3.6
91.0,0.005,53,106,3.6
91.5,0.003,53,106,4.800000000000001
92.0,0.0,53,106,5.4
92.5,0.003,53,106,5.4
93.0,0.005,54,106,4.800000000000001
93.5,0.005,54,106,4.2
94.0,0.005,54,105,3.6
94.5,0.003,55,105,3.0
95.0,0.008,55,105,3.0
95.5,0.003,60,104,3.0
96.0,0.005,60,104,1.8
96.5,0.011,60,104,1.8
97.0,0.008,61,105,1.8
97.5,0.008,61,105,1.2000000000000002
98.0,0.011,61,105,1.2000000000000002
98.5,0.013,62,106,1.2000000000000002
99.0,0.013,62,105,1.2000000000000002
99.5,0.019,62,104,0.6000000000000001
100.0,0.021,63,104,0.6000000000000001
100.5,0.021,63,103,0.6000000000000001
101.0,0.035,63,102,0.6000000000000001
101.5,0.03,64,102,1.2000000000000002
102.0,0.035,64,102,1.2000000000000002
102.5,0.03,64,102,1.2000000000000002
103.0,0.04,64,102,0.0
103.5,0.04,65,102,0.0
104.0,0.04,65,102,0.0
104.5,0.035,65,102,0.0
105.0,0.043,66,102,0.0
105.5,0.038,66,101,0.0
106.0,0.035,66,102,0.0
106.5,0.038,67,102,0.0
107.0,0.03,67,101,0.0
107.5,0.035,67,102,0.0
108.0,0.027,68,102,0.0
108.5,0.024,68,102,0.0
109.0,0.016,68,102,0.0
109.5,0.011,69,103,0.0
110.0,0.013,69,103,0.0
110.5,0.008,69,104,0.0
111.0,0.005,69,104,0.0
111.5,0.003,70,104,0.0
112.0,0.0,70,103,0.0
112.5,0.0,70,103,0.0
113.0,0.005,71,103,0.0
113.5,0.005,71,102,0.0
114.0,0.005,71,102,0.0
114.5,0.008,72,102,0.0
115.0,0.005,72,102,1.2000000000000002
115.5,0.005,72,101,2.4000000000000004
116.0,0.008,73,101,3.0
116.5,0.005,73,102,3.6
117.0,0.003,73,102,3.6
117.5,0.005,73,101,3.6
118.0,0.0,74,101,3.6
118.5,0.005,74,101,3.6
119.0,0.005,74,101,3.6
119.5,0.005,75,101,4.2
120.0,0.008,75,101,3.6
120.5,0.008,75,101,4.800000000000001
121.0,0.003,79,102,5.4
121.5,0.005,80,102,4.2
122.0,0.005,80,101,3.6
122.5,0.005,80,102,3.0
123.0,0.0,80,103,3.0
123.5,0.003,81,102,3.0
124.0,0.003,81,102,3.0
124.5,0.003,81,102,3.0
125.0,0.0,82,102,3.0
125.5,0.005,82,101,3.0
126.0,0.003,82,102,3.0
126.5,0.008,83,101,1.8
127.0,0.013,83,101,1.8
127.5,0.011,83,102,1.2000000000000002
128.0,0.013,83,103,1.2000000000000002
128.5,0.03,84,103,1.2000000000000002
129.0,0.027,84,103,1.2000000000000002
129.5,0.032,84,102,1.2000000000000002
130.0,0.038,85,102,1.2000000000000002
130.5,0.038,85,101,1.2000000000000002
131.0,0.038,85,100,1.2000000000000002
131.5,0.04,86,100,1.2000000000000002
132.0,0.038,86,100,1.2000000000000002
132.5,0.043,86,100,1.2000000000000002
133.0,0.04,87,100,1.2000000000000002
133.5,0.043,87,100,0.6000000000000001
134.0,0.038,87,100,0.0
134.5,0.038,87,100,0.0
135.0,0.027,88,100,0.0
135.5,0.035,88,99,0.0
136.0,0.032,88,99,0.0
136.5,0.027,89,99,0.0
137.0,0.024,89,99,0.0
137.5,0.021,89,99,0.0
138.0,0.011,90,99,0.0
138.5,0.005,90,99,0.0
139.0,0.005,90,100,0.0
139.5,0.003,90,100,0.0
140.0,0.005,91,100,0.0
140.5,0.003,91,101,0.0
141.0,0.0,91,101,0.0
141.5,0.003,92,102,0.0
142.0,0.003,92,102,0.0
142.5,0.003,92,102,0.0
143.0,0.003,93,101,0.0
143.5,0.0,93,101,0.0
144.0,0.0,93,101,0.0
144.5,0.0,93,100,0.0
145.0,0.011,94,100,0.0
145.5,0.005,94,100,0.0
146.0,0.013,94,100,1.2000000000000002
146.5,0.011,95,99,2.4000000000000004
147.0,0.011,95,100,3.0
147.5,0.011,95,100,3.6
148.0,0.013,96,100,3.6
148.5,0.013,96,100,3.6
149.0,0.008,96,100,3.6
149.5,0.011,97,99,3.6
150.0,0.011,97,100,3.6
150.5,0.008,97,100,4.2
151.0,0.008,97,100,3.6
151.5,0.008,98,99,4.2
152.0,0.0,98,100,5.4
152.5,0.005,98,100,5.4
153.0,0.0,99,100,5.4
153.5,0.008,99,100,4.2
154.0,0.011,99,100,4.2
154.5,0.016,100,100,3.6
155.0,0.016,100,100,3.6
155.5,0.019,100,100,3.0
156.0,0.021,100,100,3.6
156.5,0.021,101,100,4.2
157.0,0.013,101,100,4.2
157.5,0.013,101,101,5.4
158.0,0.013,102,101,6.0
158.5,0.016,102,101,4.2
159.0,0.008,102,101,3.6
159.5,0.011,103,102,3.6
160.0,0.005,103,102,3.0
160.5,0.0,103,102,3.0
161.0,0.0,103,102,2.4000000000000004
161.5,0.005,104,102,2.4000000000000004
162.0,0.013,104,101,3.0
162.5,0.021,104,101,3.0
163.0,0.021,105,101,3.0
163.5,0.03,105,101,2.4000000000000004
164.0,0.03,105,100,1.8
164.5,0.03,106,101,1.2000000000000002
165.0,0.032,106,102,1.2000000000000002
165.5,0.035,106,102,1.2000000000000002
166.0,0.035,107,102,1.2000000000000002
166.5,0.035,107,102,1.2000000000000002
167.0,0.035,107,101,0.6000000000000001
167.5,0.038,107,101,0.6000000000000001
168.0,0.032,108,100,0.6000000000000001
