time,torque,angle,rpm,step
0.0,3.9,50,59,1
0.5,3.9,51,59,1
1.0,3.96,51,59,1
1.5,3.93,51,59,1
2.0,3.96,51,59,1
2.5,3.93,51,59,1
3.0,3.96,51,59,1
3.5,4.02,51,59,1
4.0,4.02,52,58,1
4.5,4.05,52,58,1
5.0,4.17,52,58,1
5.5,4.2,52,58,1
6.0,4.29,52,58,1
6.5,4.29,52,57,1
7.0,4.29,52,57,1
7.5,4.29,52,57,1
8.0,4.32,53,56,1
8.5,4.44,53,56,1
9.0,4.41,53,54,1
9.5,4.5,53,54,1
10.0,4.47,53,54,1
10.5,4.5,53,54,1
11.0,4.53,53,54,1
11.5,4.56,54,54,1
12.0,4.62,54,54,1
12.5,4.62,54,54,1
13.0,4.74,54,54,1
13.5,4.74,54,54,1
14.0,4.8,54,54,1
14.5,4.89,54,54,1
15.0,4.91,54,54,1
15.5,4.91,55,54,1
16.0,4.91,55,54,1
16.5,5.03,55,54,1
17.0,5.06,55,54,1
17.5,5.09,55,54,1
18.0,5.12,55,0,1
18.5,5.03,55,0,1
19.0,4.89,55,0,1
19.5,4.89,55,0,1
20.0,4.86,55,0,1
20.5,4.68,55,0,1
21.0,4.62,55,0,1
21.5,4.56,55,0,1
22.0,4.44,55,0,1
22.5,4.41,55,0,1
23.0,4.35,55,0,1
23.5,4.32,55,0,1
24.0,4.23,55,0,1
24.5,4.23,55,0,1
25.0,4.23,55,0,1
25.5,4.23,55,0,1
26.0,4.23,54,0,1
26.5,4.23,54,0,1
27.0,4.2,54,0,1
27.5,4.26,54,0,1
28.0,4.23,54,0,1
28.5,4.26,54,0,1
29.0,4.29,54,0,1
29.5,4.32,54,0,1
30.0,4.44,55,0,1
30.5,4.41,55,0,1
31.0,4.35,55,0,1
31.5,4.32,55,0,1
32.0,4.23,55,0,1
32.5,4.23,55,0,1
33.0,4.23,55,0,1
33.5,4.23,55,0,1
34.0,4.23,54,0,1
34.5,4.23,54,0,1
35.0,4.2,54,0,1
35.5,4.26,54,0,1
36.0,4.23,54,0,1
36.5,4.26,54,0,1
37.0,4.29,54,0,1
37.5,4.32,54,0,1
38.0,0.08,0,0,1
38.5,0.12,0,0,1
39.0,0.12,0,0,1
39.5,0.08,0,1,1
40.0,0.08,0,1,1
40.5,0.08,0,1,1
41.0,0.08,0,1,1
41.5,0.12,0,1,1
42.0,0.08,0,0,1
42.5,0.08,0,0,1
43.0,0.06,0,0,1
43.5,0.08,0,0,1
44.0,0.08,0,0,1
44.5,0.06,0,1,1
45.0,0.12,0,1,1
45.5,0.08,0,0,1
46.0,0.06,0,0,1
46.5,0.08,0,0,1
47.0,0.06,0,0,1
47.5,0.06,0,0,1
48.0,0.06,0,0,1
48.5,0.08,0,0,1
49.0,0.06,0,0,1
49.5,0.08,0,0,1
50.0,0.06,0,0,1
50.5,0.06,0,0,1
51.0,0.08,0,0,1
51.5,0.06,0,0,1
52.0,0.08,0,0,1
52.5,0.06,0,0,1
53.0,0.06,0,0,1
53.5,0.06,0,0,1
54.0,0.06,0,0,1
54.5,0.08,0,0,1
55.0,0.08,0,0,1
55.5,0.06,0,0,1
56.0,0.08,0,0,1
56.5,0.12,0,0,1
57.0,0.08,0,0,1
57.5,0.08,0,0,1
58.0,0.08,0,0,1
58.5,0.08,0,0,1
62.0,0.08,0,3,1
62.5,0.08,0,2,1
63.0,0.06,0,2,1
63.5,0.06,0,2,1
64.0,0.06,0,3,1
64.5,0.08,0,3,1
65.0,0.06,0,3,1
65.5,0.08,0,3,1
66.0,0.08,0,3,1
66.5,0.12,0,4,1
67.0,0.12,0,4,1
67.5,0.12,0,4,1
68.0,0.12,0,4,1
68.5,0.12,0,4,1
69.0,0.12,0,5,1
69.5,0.12,0,5,1
70.0,0.12,0,6,1
70.5,0.12,0,6,1
71.0,0.12,0,6,1
71.5,0.12,0,6,1
72.0,0.12,0,6,1
72.5,0.08,0,5,1
73.0,0.12,0,5,1
73.5,0.12,0,5,1
74.0,0.15,0,6,1
74.5,0.12,0,6,1
75.0,0.15,0,7,1
75.5,0.12,0,7,1
76.0,0.15,0,7,1
76.5,0.15,0,7,1
77.0,0.15,0,7,1
77.5,0.15,0,8,1
78.0,0.15,0,8,1
78.5,0.15,0,8,1
79.0,0.12,0,9,1
79.5,0.15,0,9,1
80.0,0.12,0,9,1
80.5,0.12,1,9,1
81.0,0.08,1,9,1
81.5,0.12,1,10,1
82.0,0.15,1,10,1
82.5,0.15,1,10,1
83.0,0.12,1,10,1
83.5,0.12,1,10,1
84.0,0.12,1,11,1
84.5,0.12,1,11,1
85.0,0.12,1,12,1
85.5,0.12,1,12,1
86.0,0.12,1,12,1
86.5,0.08,1,13,1
87.0,0.12,1,13,1
87.5,0.12,1,12,1
88.0,0.17,1,12,1
88.5,0.15,1,12,1
89.0,0.12,1,14,1
89.5,0.15,1,14,1
90.0,0.15,1,14,1
90.5,0.12,1,14,1
91.0,0.21,1,14,1
91.5,0.15,1,14,1
104.0,0.17,4,28,1
104.5,0.24,4,28,1
105.0,0.21,4,28,1
105.5,0.24,4,28,1
106.0,0.21,4,29,1
106.5,0.17,4,29,1
107.0,0.21,4,30,1
107.5,0.24,4,30,1
108.0,0.17,4,30,1
108.5,0.21,5,30,1
109.0,0.21,5,30,1
109.5,0.24,5,30,1
110.0,0.21,5,30,1
110.5,0.21,5,30,1
